tanggal,tahun,bulan,h2_ppb,ch4_ppb,co2_ppm,co_ppb
2009-09-01,2009,9,548.11,1793.18,380.34,123.41
2009-10-01,2009,10,552.37,1798.42,381.95,129.14
2009-11-01,2009,11,552.61,1820.69,382.76,140.58
2009-12-01,2009,12,545.75,1843.53,382.94,137.45
2010-01-01,2010,1,543.7,1863.49,384.25,146.32
2010-02-01,2010,2,547.99,1869.29,384.77,154.91
2010-03-01,2010,3,551.89,1845.52,384.98,136.29
2010-04-01,2010,4,551.22,1821.56,384.99,118.01
2010-05-01,2010,5,546.01,1815.6,381.93,111.32
2010-06-01,2010,6,540.06,1809.11,380.65,94.64
2010-07-01,2010,7,538.95,1806.61,384.15,92.71
2010-08-01,2010,8,540.14,1811.49,384.81,108.93
2010-09-01,2010,9,543.7,1809.68,382.67,110.94
2010-10-01,2010,10,548.73,1797.92,382.3,102.78
2010-11-01,2010,11,549.14,1809.89,383.58,99.57
2010-12-01,2010,12,545.96,1836.7,384.65,104.32
2011-01-01,2011,1,547.16,1850.56,386.43,141.56
2011-02-01,2011,2,552.54,1856.11,385.58,185.39
2013-02-01,2013,2,555.39,1879.35,395.21,148.97
2013-03-01,2013,3,564.14,1874.83,394.17,158.0
2013-05-01,2013,5,553.8,1804.68,392.83,92.1
2013-06-01,2013,6,558.9,1798.18,395.33,77.47
2013-07-01,2013,7,571.64,1814.05,402.78,96.2
2013-08-01,2013,8,569.73,1824.59,402.98,112.86
2013-09-01,2013,9,559.01,1815.42,394.58,110.35
2013-10-01,2013,10,553.76,1839.89,391.78,109.21
2013-11-01,2013,11,551.43,1872.63,393.25,110.71
2013-12-01,2013,12,549.58,1864.37,392.54,119.32
2014-01-01,2014,1,555.88,1886.82,394.3,154.12
2014-02-01,2014,2,562.08,1902.18,399.95,170.8
2014-05-01,2014,5,553.69,1837.89,395.84,107.58
2014-06-01,2014,6,549.07,1833.36,395.6,98.46
2014-07-01,2014,7,548.34,1818.55,393.72,93.58
2014-08-01,2014,8,550.78,1825.63,392.53,102.35
2014-09-01,2014,9,555.51,1848.76,393.65,122.16
2014-10-01,2014,10,558.47,1871.03,395.16,149.12
2014-11-01,2014,11,551.87,1879.5,392.75,141.92
2015-01-01,2015,1,553.53,1901.57,397.85,170.17
2015-02-01,2015,2,560.68,1907.35,398.8,196.64
2015-03-01,2015,3,560.6,1886.17,398.34,167.68
2015-04-01,2015,4,557.51,1869.74,397.15,131.66
2015-05-01,2015,5,552.41,1869.35,395.82,118.01
2015-06-01,2015,6,546.76,1856.62,395.37,102.75
2015-07-01,2015,7,548.73,1843.26,394.97,126.46
2015-08-01,2015,8,558.47,1866.78,394.81,207.25
2015-11-01,2015,11,570.1,1870.46,399.72,175.22
2015-12-01,2015,12,555.91,1879.09,397.89,129.68
2016-01-01,2016,1,555.29,1914.93,402.47,149.73
2016-02-01,2016,2,560.38,1917.11,402.0,176.69
2016-03-01,2016,3,564.35,1885.13,399.78,166.47
2016-04-01,2016,4,565.96,1877.5,401.84,147.85
2016-05-01,2016,5,559.44,1870.23,402.32,127.7
2016-06-01,2016,6,552.85,1842.8,399.06,96.18
2016-07-01,2016,7,554.16,1834.71,397.39,86.95
2016-08-01,2016,8,555.67,1840.61,396.42,91.4
2016-09-01,2016,9,554.8,1835.84,396.26,84.93
2016-10-01,2016,10,556.67,1836.63,397.52,83.31
2016-11-01,2016,11,560.0,1854.16,399.56,92.32
2016-12-01,2016,12,559.49,1885.03,398.63,104.01
2017-01-01,2017,1,555.3,1900.79,396.98,117.09
2017-02-01,2017,2,554.58,1890.13,400.54,126.28
2017-03-01,2017,3,558.71,1880.12,402.47,122.21
2017-04-01,2017,4,559.68,1865.37,400.62,109.47
2017-05-01,2017,5,553.95,1845.79,398.9,96.37
2017-06-01,2017,6,550.26,1849.82,398.94,89.92
2017-07-01,2017,7,550.37,1866.33,398.61,96.91
2017-08-01,2017,8,549.3,1864.25,394.47,107.77
2017-09-01,2017,9,551.43,1852.09,394.17,105.19
2017-10-01,2017,10,557.61,1848.04,396.38,97.46
2017-11-01,2017,11,557.27,1874.12,399.15,96.98
2017-12-01,2017,12,555.13,1903.2,402.0,115.19
2018-01-01,2018,1,561.79,1920.84,402.39,152.04
2018-02-01,2018,2,567.03,1931.35,403.16,161.39
2018-03-01,2018,3,564.16,1910.14,402.4,135.85
2018-04-01,2018,4,562.09,1895.82,400.95,121.62
2018-05-01,2018,5,559.46,1890.63,401.93,117.56
2018-06-01,2018,6,552.55,1857.4,401.58,90.11
2018-07-01,2018,7,549.82,1843.92,401.17,71.54
2018-08-01,2018,8,555.43,1853.45,402.49,103.43
2018-09-01,2018,9,562.93,1882.01,402.78,156.18
