tahun,coal,natural_gas,hydro_power,geothermal,solar,wind,produktivitas_pertanian,hydrogen_flow_rate,hydrogen_efficiency
2014,319956003,577688014,37955765,16191566,,,5.1,,
2015,364619216,509485005,34604474,16337878,,,5.12,,
2016,380310000,532134133,47450306,17537710,,,5.15,,
2017,407526000,553121237,47599892,20259621,,,5.18,,
2018,483335998,567189661,40204916,26040932,355896.0,466082.0,5.25,,
2019,581356407,545007702,39329376,26193174,461856.0,1185873.0,5.3,,
2020,553923901,471002427,45206315,28909243,704140.0,1164203.0,5.35,,
2021,558782122,493428112,45947523,29532560,788979.0,1070935.0,5.42,,
2022,745721066,554614889,50781210,30978688,1705507.0,872631.0,5.5,,
2023,735542521,554391240,45676673,31459399,3032918.0,1179535.0,5.65,10.685999011198698,86.89761733361337
2024,803864256,573857851,50826030,31138930,5989211.0,1146302.0,5.8,10.685999011198698,86.89761733361337
