epochs,qubits,layers,parameter,MAE,RMSE,waktu_latih,waktu_inferensi,loss_awal,loss_akhir,norma_gradien
10,2,1,"Q:2, L:1, Ep:10",4.8,6.35,416.4,3.7,0.45,0.15,0.012
10,2,2,"Q:2, L:2, Ep:10",4.798,6.348,668.9,3.7,0.45,0.15,0.012
10,2,3,"Q:2, L:3, Ep:10",4.797,6.347,915.0,3.7,0.45,0.15,0.012
10,4,1,"Q:4, L:1, Ep:10",4.798,6.348,508.0,3.9,0.45,0.15,0.012
10,4,2,"Q:4, L:2, Ep:10",4.795,6.345,656.7,3.9,0.45,0.15,0.012
10,4,3,"Q:4, L:3, Ep:10",4.793,6.341,524.6,3.9,0.45,0.15,0.012
10,6,1,"Q:6, L:1, Ep:10",4.797,6.347,520.1,4.1,0.45,0.15,0.012
10,6,2,"Q:6, L:2, Ep:10",4.793,6.341,470.5,4.1,0.45,0.15,0.012
10,6,3,"Q:6, L:3, Ep:10",4.789,6.336,573.7,4.1,0.45,0.15,0.012
20,2,1,"Q:2, L:1, Ep:20",4.798,6.348,553.2,3.7,0.45,0.1,0.012
20,2,2,"Q:2, L:2, Ep:20",4.795,6.345,644.0,3.7,0.45,0.1,0.012
20,2,3,"Q:2, L:3, Ep:20",4.793,6.341,732.8,3.7,0.45,0.1,0.012
20,4,1,"Q:4, L:1, Ep:20",4.795,6.345,533.1,3.9,0.45,0.1,0.012
20,4,2,"Q:4, L:2, Ep:20",4.79,6.338,620.5,3.9,0.45,0.1,0.012
20,4,3,"Q:4, L:3, Ep:20",4.785,6.331,629.0,3.9,0.45,0.1,0.012
20,6,1,"Q:6, L:1, Ep:20",4.793,6.341,407.1,4.1,0.45,0.1,0.012
20,6,2,"Q:6, L:2, Ep:20",4.785,6.331,485.5,4.1,0.45,0.1,0.012
20,6,3,"Q:6, L:3, Ep:20",4.776,6.321,465.2,4.1,0.45,0.1,0.012
50,2,1,"Q:2, L:1, Ep:50",4.794,6.343,442.8,3.7,0.45,0.07,0.012
50,2,2,"Q:2, L:2, Ep:50",4.787,6.335,422.3,3.7,0.45,0.07,0.012
50,2,3,"Q:2, L:3, Ep:50",4.78,6.326,416.7,3.7,0.45,0.07,0.012
50,4,1,"Q:4, L:1, Ep:50",4.787,6.335,484.3,3.9,0.45,0.07,0.012
50,4,2,"Q:4, L:2, Ep:50",4.774,6.318,417.1,3.9,0.45,0.07,0.012
50,4,3,"Q:4, L:3, Ep:50",4.76,6.301,412.2,3.9,0.45,0.07,0.012
50,6,1,"Q:6, L:1, Ep:50",4.78,6.326,522.5,4.1,0.45,0.07,0.012
50,6,2,"Q:6, L:2, Ep:50",4.76,6.301,393.0,4.1,0.45,0.07,0.012
50,6,3,"Q:6, L:3, Ep:50",4.739,6.276,360.3,4.1,0.45,0.07,0.012
